test_type,model_type,parameters,num_examples,num_prompts,total_time,time_per_prompt,tok_per_sec,total_out_tok,total_in_tok,avg_out_tok,avg_in_tok,actual_emissions_per_10k_prompts,actual_total_energy_per_10k_prompts,actual_cpu_energy_per_10k_prompts,actual_gpu_energy_per_10k_prompts,actual_ram_energy_per_10k_prompts,actual_idle_gpu_energy_per_10k_prompts,actual_non_idle_gpu_energy_per_10k_prompts,pred_emissions_per_10k_prompts,pred_total_energy_per_10k_prompts,pred_cpu_energy_per_10k_prompts,pred_gpu_energy_per_10k_prompts,pred_ram_energy_per_10k_prompts,pred_idle_gpu_energy_per_10k_prompts,pred_non_idle_gpu_energy_per_10k_prompts
Output-tok-vllm,llama3,8,1,1000,49.202579975128174,0.049202579975128176,369.3505505033765,18173.0,186660.0,18.173,186.66,0.034967513216419,0.052586817284723995,0.0070890547809,0.034139819367388996,0.011357943136433998,0.015307469325595431,0.01883235004179357,0.009760434300456259,0.014678486628458491,0.0025857419243037975,0.007930644846450795,0.004162099857703221,0.005576535455326054,0.0023541093911247273
Output-tok-vllm,llama3,8,2,1000,51.66708993911743,0.05166708993911743,416.5707808464131,21523.0,186660.0,21.523,186.66,0.038288557217628,0.057581256923745,0.0074466903529230005,0.038220993743436994,0.011913572827385,0.016074205758836533,0.022146787984600465,0.011703363117126227,0.01760041138893796,0.0029535509745541727,0.009895900870338743,0.004750959544044366,0.0063710251530769944,0.0035248757172617355
Output-tok-vllm,llama3,8,3,1000,63.47096586227417,0.06347096586227417,643.8061788545764,40863.0,186660.0,40.863,186.66,0.047209939368813,0.07099791284113799,0.009149670522312,0.047190034251997,0.014658208066829001,0.01974652271270752,0.027443511539289485,0.022920152166200004,0.03446907552854181,0.005076962028835441,0.021241587885859014,0.008150525613846674,0.010957720900689884,0.010283866985169116
Output-tok-vllm,llama3,8,5,1000,80.34120750427246,0.08034120750427245,869.5164308587847,69858.0,186660.0,69.858,186.66,0.058326642843592,0.08771606064932101,0.011574894417689,0.057599580746293996,0.018541585485336,0.024995042334662546,0.032604538411631453,0.039736636058542,0.05975898849275141,0.008260431704062193,0.03825131875530112,0.013247238033387418,0.017834207105552127,0.02041711164974898
Output-tok-vllm,llama3,8,10,1000,144.78470873832703,0.14478470873832702,1258.6757371550984,182237.0,186660.0,182.237,186.66,0.10718382300361799,0.16119122001283298,0.020857030055324,0.106918879312812,0.033415310644696,0.04504413160747952,0.06187474770533248,0.10491406814467757,0.15777778928616096,0.02059894312438663,0.10417773866828728,0.03300110749348637,0.04448613479019478,0.0596916038780925
Output-tok-vllm,llama3,8,15,1000,211.35897660255432,0.21135897660255432,1363.5947932410502,288208.0,186660.0,288.208,186.66,0.15592559396869402,0.23449281821372298,0.030445183376703003,0.15527704416598,0.04877059067104,0.06575612605412802,0.08952091811185199,0.1663749963928367,0.25020742773176385,0.03223389621814259,0.1663449464615499,0.051628585052070686,0.06961833412164699,0.0967266123399029
Output-tok-vllm,llama3,8,20,1000,276.60654067993164,0.2766065406799316,1439.8213398028113,398264.0,186660.0,398.264,186.66,0.204828999682617,0.308037495096015,0.03984242121524201,0.20436697916011898,0.063828094720653,0.08605536821153428,0.11831161094858471,0.23020513783983068,0.34620006995245883,0.04431735676571132,0.23090859331677735,0.07097411986996949,0.09571933656214772,0.13518925675462962
Output-tok-vllm,llama3,8,30,1000,408.54310035705566,0.40854310035705566,1455.8341567393652,594771.0,186660.0,594.771,186.66,0.303342998617103,0.456190371449908,0.058845788307587,0.303081192631426,0.094263390510894,0.12710229788886176,0.17597889474256423,0.3441750223106859,0.5175966875367988,0.06589259647841293,0.34618816510368744,0.10551592595469762,0.14232315358780262,0.20386501151588482
Output-tok-vllm,llama3,8,40,1000,541.1795892715454,0.5411795892715454,1443.9347223938007,781428.0,186660.0,781.428,186.66,0.40250210859611796,0.605313415067829,0.077948735114004,0.402508618673304,0.12485606128051999,0.16836698332892522,0.23414163534437876,0.45243211608178024,0.6804019741089826,0.0863863677896321,0.45568929753677784,0.13832630878257196,0.18659093374096597,0.26909836379581187
Output-tok-vllm,llama3,8,60,1000,882.3084070682526,0.8823084070682525,1362.8749203417487,1202476.0,186660.0,1202.476,186.66,0.663906878731937,0.9984338751762941,0.127080853323572,0.667853812004844,0.203499209847878,0.2744959488656786,0.39335786313916543,0.6966310093358865,1.0476469223329703,0.1326148051000261,0.7026944074907996,0.212337709742144,0.2864471421763803,0.41624726531441925
Output-tok-vllm,llama3,8,90,1000,1447.2658081054688,1.4472658081054688,1241.1707579490435,1796304.0,186660.0,1796.304,186.66,1.103408511731546,1.65939000116228,0.20845373654544302,1.117225443668528,0.333710820948308,0.45026047363281246,0.6669649700357155,1.0410386312300637,1.5655934108899856,0.19781340590363194,1.0510597967903017,0.3167202081960512,0.42728004612743853,0.6237797506628631
