test_type,model_type,parameters,num_examples,num_prompts,total_out_tok,total_in_tok,avg_out_tok,avg_in_tok,actual_emissions_per_10k_prompts,actual_cpu_energy_per_10k_prompts,actual_gpu_energy_per_10k_prompts,actual_ram_energy_per_10k_prompts,pred_emissions_per_10k_prompts,pred_cpu_energy_per_10k_prompts,pred_gpu_energy_per_10k_prompts,pred_ram_energy_per_10k_prompts
Output-tok,llama3,8,1,150,2704.0,27999.0,18.027,186.66,0.7175947569881,0.3411986538399133,0.37330111752954,0.36467403594864,0.3264465027004072,0.3264465027004072,0.3264465027004072,0.3264465027004072
Output-tok,llama3,8,5,150,10958.0,27999.0,73.053,186.66,2.93206607344282,1.3810799971297933,1.5522774144135267,1.4761075085550066,2.7474535296297633,2.7474535296297633,2.7474535296297633,2.7474535296297633
Output-tok,llama3,8,10,150,26537.0,27999.0,176.913,186.66,7.227773612586493,3.410975038538153,3.8130650637829397,3.6456379324887465,7.317034996879481,7.317034996879481,7.317034996879481,7.317034996879481
Output-tok,llama3,8,30,50,29389.0,9333.0,587.78,186.66,24.724677756913163,11.68430221903522,13.0104280094452,12.48812871774732,25.394160249185365,25.394160249185365,25.394160249185365,25.394160249185365
Output-tok,llama3,8,90,50,106229.0,9333.0,2124.58,186.66,93.19251785941725,43.35962525777024,50.44779913042922,46.34260225640008,93.00953478095279,93.00953478095279,93.00953478095279,93.00953478095279
Input-tok,llama3,8,1,150,2701.0,23799.0,18.007,158.66,1.3331964486453134,0.34934319376017997,1.09583639333508,0.5597830653999732,1.3022745433576342,1.3022745433576342,1.3022745433576342,1.3022745433576342
Input-tok,llama3,8,5,150,2706.0,33399.0,18.04,222.66,1.3551230332913666,0.3497959287815601,1.1276016717102402,0.5605399248038867,1.3241337828455204,1.3241337828455204,1.3241337828455204,1.3241337828455204
Input-tok,llama3,8,10,150,2691.0,45249.0,17.94,301.66,1.3674481275016532,0.34966324762878,1.1465055868333598,0.5603041089298201,1.3511162815883802,1.3511162815883802,1.3511162815883802,1.3511162815883802
Input-tok,llama3,8,20,150,2707.0,69399.0,18.047,462.66,1.4107526905917533,0.36020338171411337,1.1841679658521334,0.5772263055161067,1.4061059309250945,1.4061059309250945,1.4061059309250945,1.4061059309250945
Input-tok,llama3,8,30,150,2705.0,94149.0,18.033,627.66,1.4599892296728665,0.36834101310592665,1.2370680215054732,0.5902342867564133,1.4624617827298014,1.4624617827298014,1.4624617827298014,1.4624617827298014
Input-tok,llama3,8,70,150,2736.0,201549.0,18.24,1343.66,1.6545238583522335,0.4113011142075,1.4177818408912268,0.6591163999395001,1.7070120245005305,1.7070120245005305,1.7070120245005305,1.7070120245005305
Input-tok,llama3,8,210,150,2777.0,561549.0,18.513,3743.66,2.4330743218152797,0.5899271231960332,2.123812717567327,0.9453031689458534,2.52673350529627,2.52673350529627,2.52673350529627,2.52673350529627
Input-tok,llama3,8,350,150,2821.0,921549.0,18.807,6143.66,3.4121851274647734,0.81255489918236,3.016946061703067,1.3020036653968667,3.34645498609201,3.34645498609201,3.34645498609201,3.34645498609201
Llama2 Params,llama2,7,1,250,9404.0,42000.0,37.616,168.0,1.3237250699399716,0.3463242828334113,1.0894202655906442,0.5549743213254642,1.3218192114904133,1.3218192114904133,1.3218192114904133,1.3218192114904133
Llama2 Params,llama2,13,1,250,10252.0,42000.0,41.008,168.0,1.746947580944433,0.44688362843588986,1.464195657117174,0.7161139230843433,1.7490540560728935,1.7490540560728935,1.7490540560728935,1.7490540560728935
Llama2 Params,llama2,70,1,250,9962.0,36750.0,39.848,147.0,5.807985696285356,1.3884783044494993,5.121169772053554,2.2248444426685543,5.807785079606454,5.807785079606454,5.807785079606454,5.807785079606454
Llama3 Params,llama3,8,1,250,4524.0,33165.0,18.096,132.66,1.349682797176224,0.349200310841268,1.120993789460976,0.559561982384068,1.3496827971762235,1.3496827971762235,1.3496827971762235,1.3496827971762235
Llama3 Params,llama3,70,1,100,1879.0,13266.0,18.79,132.66,5.327022326297739,1.26304502757291,4.72424770106179,2.02389033751271,5.32702232629774,5.32702232629774,5.32702232629774,5.32702232629774
